,0
2005-03-29,
2005-03-30,
2005-03-31,
2005-04-01,
2005-04-04,
2005-04-05,
2005-04-06,
2005-04-07,
2005-04-08,
2005-04-11,
2005-04-12,
2005-04-13,0.39256777246707875
2005-04-14,0.3916026976611447
2005-04-15,0.37899182097213086
2005-04-18,0.41560404816632157
2005-04-19,0.4770645848689692
2005-04-20,0.4642138607880041
2005-04-21,0.4752389312765362
2005-04-22,0.4861703922327144
2005-04-25,0.48647256312564097
2005-04-26,0.4906903312088672
2005-04-27,0.48305266752698495
2005-04-28,0.4960497954851289
2005-04-29,0.48713062550921526
2005-05-02,0.46993224577774095
2005-05-03,0.4635974838827751
2005-05-04,0.47034260880779255
2005-05-05,0.4587023794715587
2005-05-06,0.470295010416914
2005-05-09,0.47063095894003915
2005-05-10,0.47184177634076485
2005-05-11,0.4703710942821407
2005-05-12,0.4626440731006041
2005-05-13,0.46497610893165825
2005-05-16,0.467098254025867
2005-05-17,0.4801735727461597
2005-05-18,0.47907964858981716
2005-05-19,0.49843312575341103
2005-05-20,0.514201278786866
2005-05-23,0.505024726397947
2005-05-24,0.4921330283820007
2005-05-25,0.4890138727768196
2005-05-26,0.4928480803230131
2005-05-27,0.49358294258511803
2005-05-30,0.49362473376881705
2005-05-31,0.4927307366870129
2005-06-01,0.48544325385004977
2005-06-02,0.5145204423880494
2005-06-03,0.5106027982301159
2005-06-06,0.5157348447248753
2005-06-07,0.5069557536905074
2005-06-08,0.5204501499712029
2005-06-09,0.49847353949862194
2005-06-10,0.5019067931678356
2005-06-13,0.5011923904663671
2005-06-14,0.502558580503667
2005-06-15,0.48967893876018576
2005-06-16,0.5092640487644603
2005-06-17,0.5182736145013318
2005-06-20,0.5135548357914738
2005-06-21,0.5106164076749079
2005-06-22,0.5122679709602042
2005-06-23,0.5129623411839422
2005-06-24,0.5140114757088072
2005-06-27,0.528258548718872
2005-06-28,0.5284415289919767
2005-06-29,0.528730913560725
2005-06-30,0.5369330682645466
2005-07-01,0.5345789893909013
2005-07-04,0.5456033560208094
2005-07-05,0.5323788386321877
2005-07-06,0.5326300826303774
2005-07-07,0.5290646864972517
