

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
All households,102528,1962,1569,3972,3793,4431,3895,4027,3810,4009,3397,3849,3064,3770,2903
Type of Residence
Inside metro. areas,82122,1511,1190,2997,2853,3284,2801,3035,2897,3102,2622,3001,2301,2956,2267
Inside central cities,31907,862,685,1729,1526,1608,1318,1350,1336,1356,1134,1261,1031,1222,846
One million or more,20310,559,449,1104,1016,1029,788,834,807,889,699,767,677,749,515
Under one million,11597,303,236,625,510,579,529,516,529,467,435,494,354,473,331
Outside central cities,50215,649,505,1268,1327,1676,1483,1684,1561,1746,1487,1740,1270,1733,1421
One million or more,34357,415,345,776,827,1005,953,1097,938,1131,950,1108,780,1132,900
Under one million,15858,234,161,492,500,671,530,587,623,615,537,631,490,601,520
Outside metro. areas,20406,451,379,975,940,1147,1094,993,913,907,775,848,763,815,636
Region
Northeast,19810,443,298,848,805,835,712,706,663,684,594,643,523,651,557
Midwest,24236,376,355,819,867,950,886,923,942,880,814,920,784,907,667
South,36578,789,635,1632,1389,1732,1410,1576,1433,1561,1269,1522,1109,1439,1072
West,21905,354,281,674,731,913,887,821,771,884,720,763,648,774,607
Race and Hispanic Origin
of Householder
White,86106,1348,1067,2852,2921,3545,3171,3299,3137,3288,2826,3175,2563,3115,2497
Black,12474,494,431,997,750,715,601,625,550,579,483,526,408,530,302
Hispanic,8590,215,258,532,436,517,399,480,360,495,356,382,290,389,229
Type of Household
Family households,70880,915,783,1295,1355,1866,2044,2287,2178,2415,2188,2508,2147,2470,2032
Married-couple families,54317,383,210,368,510,954,1131,1363,1420,1592,1510,1681,1475,1806,1510
"Male householder, nsp",3911,76,44,79,73,109,153,159,148,156,143,230,175,175,131
"Female householder, nsp",12652,456,529,847,772,804,760,765,610,667,535,597,497,489,391
Nonfamily households,31648,1048,787,2678,2438,2564,1851,1740,1632,1595,1209,1341,917,1300,872
Male householder,14133,437,286,785,659,860,648,714,686,749,566,661,404,708,420
Living alone,11010,403,269,741,626,774,592,622,596,629,462,557,304,608,303
Female householder,17516,611,500,1893,1778,1704,1203,1026,946,845,643,679,513,592,452
Living alone,15317,576,479,1858,1740,1629,1176,944,858,771,571,593,430,520,374
Age of Householder
Under 65 years,81031,1666,1198,2416,1940,2622,2203,2557,2452,2881,2376,2918,2278,3097,2243
15 to 24 years,5435,203,242,361,336,329,266,371,266,336,250,276,229,279,168
25 to 34 years,19033,399,321,513,402,695,607,640,626,724,694,842,556,924,625
35 to 44 years,23943,387,293,549,459,644,537,608,670,794,631,837,703,820,640
45 to 54 years,19547,360,178,446,334,452,424,482,473,537,456,555,442,626,474
55 to 64 years,13072,318,166,547,408,501,370,456,417,491,346,408,348,448,335
65 years and over,21497,296,371,1556,1853,1809,1692,1471,1358,1129,1021,931,786,674,661
65 to 74 years,11272,152,154,664,756,675,706,698,672,555,547,503,458,432,403
75 years and over,10226,144,217,893,1097,1133,986,773,687,574,475,428,328,242,258

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
All households,3506,2605,3237,2430,2739,2181,2809,2055,2234,1630,2228,1523,1878,1420,1585
Type of Residence
Inside metro. areas,2740,1998,2552,1896,2218,1710,2223,1660,1841,1342,1855,1262,1562,1225,1357
Inside central cities,1028,816,957,667,789,644,734,557,603,424,632,410,468,395,384
One million or more,640,517,644,422,492,374,450,317,347,259,432,256,303,279,249
Under one million,387,299,314,244,298,269,284,240,256,165,200,154,165,116,135
Outside central cities,1713,1182,1594,1230,1428,1066,1489,1103,1238,917,1223,852,1095,830,973
One million or more,1174,727,1078,776,925,728,1007,751,851,621,893,583,817,599,740
Under one million,539,455,517,454,503,339,482,352,387,296,331,269,277,231,233
Outside metro. areas,765,606,685,534,521,471,585,395,393,288,372,261,316,195,228
Region
Northeast,679,462,583,451,506,353,485,357,398,335,408,309,349,275,355
Midwest,810,661,841,615,655,556,753,545,604,373,516,384,476,386,420
South,1245,952,1122,856,1004,802,1051,709,725,567,770,479,616,483,503
West,772,530,691,508,574,471,519,444,507,355,534,352,437,277,307
Race and Hispanic Origin
of Householder
White,2941,2225,2758,2045,2325,1876,2444,1834,1898,1414,1945,1332,1640,1221,1411
Black,415,274,365,277,307,221,276,168,225,173,162,132,161,143,121
Hispanic,308,226,300,190,230,174,160,150,132,94,137,79,94,58,75
Type of Household
Family households,2447,1917,2409,1893,2105,1730,2203,1695,1839,1343,1870,1293,1578,1190,1342
Married-couple families,1864,1513,1940,1518,1704,1441,1877,1418,1583,1115,1600,1110,1341,1039,1217
"Male householder, nsp",163,109,134,104,105,95,116,94,95,98,87,55,100,49,61
"Female householder, nsp",420,295,335,270,296,194,210,183,161,131,182,128,137,101,65
Nonfamily households,1059,688,828,537,634,451,606,360,395,287,358,230,300,231,242
Male householder,587,362,439,314,377,223,351,201,229,147,229,144,193,112,165
Living alone,417,301,329,186,243,151,233,102,154,90,143,78,118,64,112
Female householder,472,326,389,223,258,227,254,159,166,140,129,86,107,119,77
Living alone,367,270,313,145,177,160,197,110,115,88,81,53,74,82,40
Age of Householder
Under 65 years,2913,2132,2775,2097,2405,1880,2559,1808,2009,1435,2075,1366,1703,1299,1486
15 to 24 years,184,130,149,154,119,74,100,75,79,57,41,19,32,22,23
25 to 34 years,796,571,802,499,622,531,655,459,506,312,486,340,418,338,354
35 to 44 years,939,621,785,644,760,570,803,527,715,477,740,472,522,407,510
45 to 54 years,605,477,570,500,516,416,601,444,451,376,593,345,507,369,402
55 to 64 years,390,332,469,301,388,290,400,303,257,214,216,191,224,163,197
65 years and over,592,473,462,333,333,302,250,248,226,195,152,157,174,121,98
65 to 74 years,364,307,282,218,213,203,166,161,131,147,97,89,138,80,61
75 years and over,228,166,180,114,120,98,83,86,94,47,56,67,36,41,37

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
All households,1169,1345,1054,1234,1017,955,747,805,704,696,629,9661,37005,171,49692
Type of Residence
Inside metro. areas,974,1191,895,1052,888,851,658,693,637,640,564,8820,39381,268,52423
Inside central cities,303,406,270,306,243,218,185,170,176,163,180,2512,31548,273,44320
One million or more,201,258,180,208,153,143,100,113,118,111,131,1732,31789,356,45314
Under one million,102,148,90,99,91,75,85,57,58,53,49,781,31168,426,42580
Outside central cities,671,785,625,746,645,633,473,523,461,476,384,6308,44668,340,57571
One million or more,455,573,441,571,486,435,354,389,361,352,280,5031,47981,477,61507
Under one million,215,212,184,175,159,198,119,134,100,124,104,1277,38581,518,49042
Outside metro. areas,195,154,158,182,129,104,89,112,67,56,65,841,30057,414,38702
Region
Northeast,262,249,189,257,221,173,184,178,154,176,122,2379,38929,525,53815
Midwest,267,358,248,327,249,240,161,218,197,140,150,1995,38316,447,49247
South,375,421,354,360,315,294,241,256,194,215,214,2884,34345,347,46398
West,265,317,263,290,231,247,161,154,160,164,143,2403,39162,546,51956
Race and Hispanic Origin
of Householder
White,1051,1218,932,1083,915,853,656,732,631,602,561,8762,38972,247,51902
Black,76,79,61,95,67,67,44,30,48,33,46,415,25050,431,32963
Hispanic,67,86,44,69,37,31,39,38,32,32,21,351,26628,475,35883
Type of Household
Family households,1027,1145,901,1064,877,860,664,704,639,607,538,8516,45347,237,57659
Married-couple families,905,1007,809,965,788,783,611,652,584,558,484,7976,51681,232,64835
"Male householder, nsp",49,51,37,53,57,25,17,17,23,28,21,220,36634,719,46337
"Female householder, nsp",73,87,54,46,33,52,36,36,32,22,34,321,23040,393,30353
Nonfamily households,142,200,153,170,139,95,83,101,65,88,91,1145,21705,209,31849
Male householder,73,121,92,111,78,49,61,57,25,42,47,720,27592,461,38302
